ID_EMPRESA,EMPRESA,ANIO,MES,NOMBRE_PUNTO_ENTREGA,NOMBRE_RUTA,TIPO_REMITENTE,NIT_REMITENTE,NUMERO_FACTURA,VALOR_FACTURA_PESOS,CANTIDAD_KG,CARGO_TRANSPORTE_PESOS_KG,VALOR_TRANSPORTE_PESOS,ECO_PESOS_KG,RECAUDO_POR_ECO_PESOS
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2017,5,Chimitá,Galán - Bucaramanga   (poliducto),COMERCIALIZADOR MAYORISTA,8902009190,686400594542352213686400594,7519713,69569,61.04,4246492,47.05,3273221
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2017,3,Chimitá,Galán - Bucaramanga   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,275910907389174925275910907,9822584,65033,60.88,3959209,90.16,5863375
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2017,3,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9001758302,531247145906458572531247145,6540850,36622.9,88.44,3238929,90.16,3301921
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2017,2,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8903106886,201572116270704978201572116,6761414,41283.52,88.14,3638729,75.64,3122685
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2017,3,Pereira,Galán - Pereira,COMERCIALIZADOR MAYORISTA,8914009003,257159757429863469257159757,23779844,71875,240.69,17299594,90.16,6480250
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2017,7,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9003967595,117677035429688862117677035,35543472,138825.42,88.08,12227743,167.95,23315729
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2017,2,Pereira,Galán - Pereira,COMERCIALIZADOR MAYORISTA,8914009003,3301886738394598233018867,14807823,46930,239.89,11258038,75.64,3549785
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2017,3,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8300647003,289453042719946234289453042,4921347,27555.13,88.44,2436976,90.16,2484371
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2017,3,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8912022039,722748953280500525722748953,16502725,92400.48,88.44,8171898,90.16,8330827
543.0,PROVIGAS S.A.S.  E.S.P.,2017,3,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,87261392,21340,4089,87261392,90,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2017,2,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8902009190,291223711438394995291223711,5168551,31557.89,88.14,2781512,75.64,2387039
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2017,1,Chimitá,Galán - Bucaramanga   (poliducto),COMERCIALIZADOR MAYORISTA,9003967595,729998544301059701729998544,4471750,39319,60.82,2391382,52.91,2080368
543.0,PROVIGAS S.A.S.  E.S.P.,2017,2,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,74691251,18320,4077,74691251,75,2
